id,name,ingredients,steps,image_url
4e7e8f02-cff6-11ed-afa1-0242ac120002,Barbequed Cajun Bass Recipe,"{""2lbs bass fillet"",""¼ cup melted butter"",""Salt and pepper to taste"",""½ tsp Cajun spice"",""¼ tsp onion salt"",""¼ tsp paprika"",""¼ tsp garlic salt""}","{""Preheat the barbecue on low with the lid open"",""Lay the bass fillets flat on aluminum foil"",""Apply butter to the bass fillets and sprinkle with onion salt, Cajun spice, paprika, and garlic salt"",""Wrap the bass in aluminum foil so that it is sealed tight"",""Place bag on the barbecue for 7 – 10minutes""}",
4e7e9952-cff6-11ed-afa1-0242ac120002,Tempura battered Lawyer Fish,"{""1 tsp salt"",""1 tsp pepper"",""1 ½ cup flour"",""1 tbsp cornstarch"",""¾ cup seltzer/ club soda"",""3 cups vegetable oil"",""1lb burbot, fresh not frozen""}","{""Combine flour, cornstarch, salt, and pepper in a small bowl"",""Mix in seltzer water a little at a time until mixture is tick enough to stick to a spoon"",""Coat each chunk of burbot and set aside"",""Pour ½ inch of vegetable oil into a large frying pan and heat until super-hot"",""Add breaded chunks of fish to frying pan, each side until likely browned"",""Serve with butter or tartar sauce""}",
4e7e9ac4-cff6-11ed-afa1-0242ac120002,Creamy baked bullhead,"{""4 large mouth bass fillets – skin removed"",""6 fillets of bullhead"",""½ cup yogurt or mayonnaise"",""1/8 tsp garlic powder"",""1 tsp Chinese oyster sauce"",""2 drops hot sauce""}","{""Place aluminum foil on a jelly roll pan"",""Mix all ingredients and spread a thin layer of the mixture on the foil"",""Place fillets on top of the foil and top with another thin layer of the mix"",""Bake uncovered in a 375-degree Fahrenheit oven about 15 minutes until fillets are brown.""}",
4e7e9c18-cff6-11ed-afa1-0242ac120002,Baked Bullhead Italiano,"{""16 bullhead fillets"",""½ stick melted margarine or butter"",""½ sweet red onion, finely chopped"",""Pinch of thyme"",""Pinch of oregano"",""3 drops of hot sauce"",""¼ cup fresh parsley, chopped"",""2 cloves garlic, minced"",""Juice from ½ fresh lemon"",""Black pepper"",""1 cup parmesan cheese, freshly grated""}","{""Spray a glass or ceramic baking dish with non-stick cooking spray"",""Place fillets in the pan touching but not overlapping"",""Melt margarine/ butter in a sauté pan and add the chopped onion"",""Sauté until onion is translucent then add garlic and heat for one minute"",""Add thyme, oregano, hot sauce and stir in parsley"",""Heat for one-minute stirring continually and add lemon juice"",""Remove from heat and pour mixture evenly over the fillets"",""Dust fish with freshly ground black pepper to taste"",""Sprinkle cheese over the fish and bake in a preheated 350-degree oven"",""Bake until fish is white and flakes"",""About 15 minutes""}",
4e7e9d62-cff6-11ed-afa1-0242ac120002,Bier Fisch (German Beer Fish),"{""1 whole carp (2-3lbs with head)"",""1 tbsp Butter"",""1 medium Onion (chopped)"",""1 celery stalk (chopped)"",""½ tsp salt"",""6 peppercorns"",""3 whole cloves"",""4 slices Lemon"",""1 bay leaf"",""1 bottle beer"",""6 gingersnaps (crushed)"",""1 tbs sugar"",""Fresh parsley (garnish)""}","{""Remove head from fish (save for making fish stock for other recipes)"",""Lay fish out flat, breaking bones along the back"",""Melt butter in a skillet"",""Add onion, celery, salt, peppercorns, and cloves (mix)"",""Add lemon slices and bay leaf on top of mixture"",""Place fish on top of lemon and bay leaves"",""Add beer"",""Cover fish and simmer 15-20minutes (Fish should flake with a fork)"",""Transfer fish to a platter and cover with foil to keep warm"",""Strain cooking liquid pressing some of the vegetables through"",""Put gingersnaps and sugar in a skillet"",""Stir in 1 ½ cups strained cooking liquid to skillet"",""Cook, stirring constantly, until thickened."",""Pour sauce over fish""}",
4e7e9e98-cff6-11ed-afa1-0242ac120002,East European Fish Soup,"{""1 large or 2 medium carp, sliced"",""Extra fish heads and bones"",""1 tbsp salt"",""1 large onion"",""3 tbsp paprika"",""1 green pepper, sliced"",""1 tomato, sliced"",""Hot pepper to taste""}","{""Salt fish slices and roe if there is any and set aside in refrigerator"",""Wash heads and bones"",""Put heads and bones in a pot with onion and cover with cold water"",""Bring water to a boil and cook until bones are reduced to a pulp"",""Strain broth"",""Arrange fish slices in a pot, sprinkle with paprika"",""Pour broth over fish slices and bring to boil (Do not stir)"",""Add roe, tomato, green peppers, and hot pepper to taste"",""Simmer for 10 to 12 minutes""}",
4e7e9fd8-cff6-11ed-afa1-0242ac120002,Baked cod,"{""1½ - 2lbs cod fillets"",""Salt and pepper to taste"",""3-4 tbsp unsalted butter or olive oil"",""2 tsp minced garlic"",""½ tbsp paprika"",""1 tsp onion powder"",""½ - 1 tsp cayenne pepper"",""2-3 tbsp basil or parsley"",""1 tbsp lemon juice""}","{""Position a rack in the center of the oven and preheat to 400 degrees Fahrenheit"",""Spray baking with cooking spray and set aside"",""Dab cod dry, both sides, with paper towels"",""Season both sides with salt and pepper"",""In a small pan set over medium low, heat butter, minced garlic, paprika, onion powder, cayenne pepper and parsley or basil"",""Stir for between 30s-1 min"",""Let this mixture sit for about 5 minutes"",""Add lemon juice to mixture"",""Brush cod with spice mixture (Make sure every inch is covered)"",""Place cod on baking sheet"",""Bake until cooked through about 10 to 15 minutes""}",
4e7ea69a-cff6-11ed-afa1-0242ac120002,Walleye and wild rice,"{""4 walleye fillets"",""2 cups light chicken bouillon"",""1 tbsp lemon juice"",""¼ cup margarine/ butter"",""3 tbsp chopped onion"",""3 cups cooked wild rice (2/3 cup uncooked)"",""1/3 cup chopped fresh dill""}","{""Poach the fillets in the chicken broth and lemon juice (Cook until flakey)"",""Remove walleye to a platter and keep warm"",""Melt butter and sauté the onion and wild rice briefly, just soften onion"",""Add ¼ cup of fish-chicken broth and dill weed""}",
4e7ea7f8-cff6-11ed-afa1-0242ac120002,Baked cod and chorizo,"{""2 tbsp olive oil"",""4 oz Spanish chorizo (cured sausage), thinly sliced"",""1lb Yukon gold potatoes, sliced ¼ in thin"",""2 leeks (white and green parts), cut into thin half moons"",""¼ tsp crumbled saffron threads"",""Kosher salt"",""Black pepper"",""Cod fillet pieces"",""¼ cup fresh, flat-leaf parsley, rough chopped""}","{""Heat oven to 400 degrees Fahrenheit"",""Heat 1 tbsp on oil in a large ovenproof skillet over medium high heat"",""Add sausage and cook, tossing occasionally until browned"",""Add the potatoes and cook, stirring occasionally, for 10 minutes"",""Add the leeks saffron, ½ cup water ¾ tsp salt, 1/8 tsp pepper"",""Bring to a boil"",""Season cod with ½ tsp salt and 1/8 tsp pepper"",""Place on top of potatoes and drizzle with the remaining tbsp of oil"",""Transfer the skillet to over and bake until the cod is opaque, about 15-20min"",""Sprinkle with parsley before serving""}",
4e7ea938-cff6-11ed-afa1-0242ac120002,Mexican ceviche,"{""½ - 1lb uncooked of cooked fresh whitefish (or other fish from above list) diced into small cubes"",""2 limes"",""1 small- medium white onion, diced"",""½ Serrano pepper, seeded and diced"",""1 tbsp fresh cilantro, or to taste"",""Salt to taste"",""Tobacco sauce to taste""}","{""Chop and mix fish, onion, Serrano pepper, and cilantro ingredients in a glass or plastic bowl"",""Squeeze limes and add lime juice to the bowl, mix"",""Let sit for at least 1 hour in refrigerator for uncooked fish (For 15min for cooked fish)"",""Add salt, pepper, and/ or Tabasco to taste and serve with chips""}",
4e7eaa64-cff6-11ed-afa1-0242ac120002,Mexican fish,"{""1 tsp olive oil"",""1 bell pepper, thinly sliced"",""1 small onion, halved and thinly sliced"",""2 garlic cloves, minced"",""1 cup salsa"",""14 oz can fire roasted tomatoes, undrained"",""1 tsp chili powder"",""1 tsp ground cumin"",""¼ tsp ground coriander"",""¼ tsp salt"",""14 oz can black beans, drained and rinsed"",""1 cup corn, frozen or canned"",""1lb fish"",""½ lime"",""Cooked rice tortilla chips, cheese, cilantro, sour cream, and additional lime wedges for serving""}","{""In a large skillet heat olive oil over medium high heat"",""Add peppers, onions and sauté until soft – about 5 min"",""Add garlic and sauté 30s"",""Reduce heat to medium low and add salsa, tomatoes, chili powder, cumin, coriander, and salt"",""Simmer, uncovered, for 5 min"",""Add beans and corn, stir and bring back to a simmer"",""Add fish, pushing down slightly so it sits mostly in the sauce"",""Cover and simmer for about 10-15min"",""Cooking tile will depend on the fish’s thickness- make sure fish is at 145 degrees at the thickest part of the fillet"",""Squeeze lime juice over fish."",""Serve over rice, top fish with tortilla chips, cheese, cilantro, sour cream, and additional lime wedges""}",
4e7eb090-cff6-11ed-afa1-0242ac120002,"Grilled herring with peas, mint and Meyer lemon","{""2 cups shelled fresh or frozen peas"",""1/3 cup extra-virgin olive oil"",""3 tbsp buttermilk"",""¼ cup fresh Meyer lemon"",""2 tbsp mint leaves"",""1 shallot, minced"",""Kosher salt"",Pepper,""Twenty 1 ½ once whole herring, sardines or mackerel"",""2 tbsp plus 1 tsp extra virgin olive oil"",""2 tbsp chopped parsley"",""2 tbsp chopped tarragon"",""Sea salt"",""Black pepper"",""Pinch of chorused red pepper"",""1 cup pea shoots"",""1 tsp fresh Meyer lemon juice""}","{""Make the sauce in a small saucepan of boiling water"",""Cook the peas until tender"",""About 1 minute"",""Drain well"",""In a blender puree the peas with the olive oil, buttermilk, 2 tbsp of the lemon juice, the mint and shallot until very smooth"",""Strain through a fine sieve, pressing on the solids"",""Discard the solids"",""Season with kosher salt, pepper and more lemon juice to taste"",""To make the fish"",""Light a grill or pre-heat a grill pan"",""In a large bowl toss the herring with 2 tbsp of the olive oil, parsley, tarragon, salt, black pepper and crushed red pepper"",""Grill the fish over moderately high head, turning once"",""About 2 minutes per side"",""Combine pea shoots with lemon juice and remaining 1 tsp of olive oil and toss to coat"",""Spoon some of the sauce onto plates"",""Top the fish and pea shoots"",""Season with sea salt and pepper to taste and serve""}",
